literacy_rate_percent_all ,Number of doctors per 1000 people (most recent),Nurses Per 1000,Health Spending as a percentage of GDP,Total Health Spending per Capita,Prepaid Private Spending Per Capita,Out-of-Pocket Spending per Capita,Development Assistance for Health Spending per Capita,Neonatal Mortality,Under-5 Mortality,UHC Index,Air Pollution Mortality,WaSH,Output
93.8,1.558,3.061,0.035,2489,209,450,0,77.1,80,67.3,36.4,62.2,70.3
99,2.825,8.421,0.098,4285,209,626,0,77.5,84.3,88.3,82,86,90.5
86,2.568,9.884,0.168,9839,3780,1095,0,66.6,74.9,79.4,81.7,83.7,88.7
98.4,3.938,5.848,0.092,2038,286,332,0,62.9,69.3,65,77.7,69.8,71
99.6,2.451,12.496,0.062,451,12,192,5,37,46.6,57,27.9,68.8,62.9
85.2,0.186,2.218,0.052,147,3,9,54,31.7,39.9,18,10,26.7,32.4
95.4,1.925,1.123,0.036,590,30,280,0,41.4,54,56.1,62.8,56.2,67.8
94.5,0.821,1.434,0.051,320,11,153,9,51.1,59.9,58.7,39.2,57.3,60.3
70.1,0.311,0.757,0.065,179,2,142,12,23.4,32.1,28,17.9,30.4,43.3
63.4,0.091,0.886,0.06,241,25,61,78,22,24.8,29.3,13.2,7.9,29
86.5,0.077,1.167,0.088,191,33,56,53,18.7,26,30.6,19.1,14.9,31.2
